INFO 2024-10-11 23:16:48,161 basehttp 458 140299302405696 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,177 basehttp 458 140299302405696 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,193 basehttp 458 140299302405696 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,209 basehttp 458 140299302405696 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,226 basehttp 458 140299302405696 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-10-11 23:16:48,242 basehttp 458 140299302405696 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-10-11 23:16:48,258 basehttp 458 140299302405696 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-10-11 23:16:48,273 basehttp 458 140299302405696 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,288 basehttp 458 140299302405696 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2024-10-11 23:16:48,304 basehttp 458 140299302405696 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,319 basehttp 458 140299302405696 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,335 basehttp 458 140299302405696 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2024-10-11 23:16:49,502 basehttp 458 140299302405696 "GET /admin/images/creationtype/add/ HTTP/1.1" 200 14455
INFO 2024-10-11 23:16:49,546 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2024-10-11 23:16:49,616 log 458 140299302405696 Not Found: /favicon.ico
INFO 2024-10-11 23:16:51,005 basehttp 458 140299302405696 "POST /admin/images/creationtype/add/ HTTP/1.1" 302 0
INFO 2024-10-11 23:16:51,029 basehttp 458 140299302405696 "GET /admin/images/creationtype/ HTTP/1.1" 200 15034
INFO 2024-10-11 23:16:51,068 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:52,816 basehttp 458 140299302405696 "GET /admin/images/prompt/ HTTP/1.1" 200 13652
INFO 2024-10-11 23:16:52,862 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:52,878 basehttp 458 140299302405696 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2024-10-11 23:16:52,893 basehttp 458 140299302405696 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-10-11 23:16:54,152 basehttp 458 140299302405696 "GET /admin/images/prompt/add/ HTTP/1.1" 200 19888
INFO 2024-10-11 23:16:54,191 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:54,214 basehttp 458 140299302405696 "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2024-10-11 23:16:54,230 basehttp 458 140299302405696 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-10-11 23:16:54,245 basehttp 458 140299302405696 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-10-11 23:16:54,260 basehttp 458 140299302405696 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:54,277 basehttp 458 140299302405696 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:54,292 basehttp 458 140299302405696 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2024-10-11 23:16:54,330 basehttp 458 140299302405696 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-10-11 23:16:54,375 basehttp 458 140299302405696 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2024-10-11 23:16:54,388 basehttp 458 140299302405696 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
WARNING 2024-10-11 23:16:54,406 log 458 140299302405696 Not Found: /favicon.ico
INFO 2024-10-11 23:17:20,224 autoreload 458 140299349526336 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:17:20,564 autoreload 500 139664423323456 Watching for file changes with StatReloader
INFO 2024-10-11 23:17:25,826 autoreload 500 139664423323456 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:17:26,153 autoreload 502 140580290561856 Watching for file changes with StatReloader
INFO 2024-10-11 23:17:27,102 basehttp 502 140580243441216 "GET /admin/images/prompt/add/ HTTP/1.1" 200 19851
